26/11/21;Estoque Fisico;por Produto;Fl   1
P r o d u t o;Descricao;Qtde;
;;;
934;BATA CREPE VIES MALU;4;
1508;BATA EDUARDA VETTO;4;
0706;BATA LOLA VETTO;2;
1450;BATA MONICA VETTO;0;
079;BATA PLUS SIZE;2;
1042;BATA SOLANGE VETTO;2;
1375;BATA VERA VETTO;2;
027131086871;BEAUTIFUL 75ML;0;
5055810015145;BEAUTIFUL LIFE ZIRCONIA PRIVE F;14;
719346117722;BELIEVE F 100ML;0;
719346117708;BELIEVE F 30ML;0;
719346117715;BELIEVE F 50ML;0;
8433982002274;BENETTON AIM HIGH 60ML;0;
8433982002281;BENETTON BE STRONG 60ML;0;
8433982011276;BENETTON COLORS BLUE 100ML;0;
8433982011245;BENETTON COLORS GREEN 100ML;0;
8433982002267;BENETTON GO FAR 60ML;0;
8433982000546;BENETTON LOVE YOUSEFF;0;
8410225513667;BESO 100ML;0;
8410225513674;BESO 50ML;0;
7898478494369;BETTY BOOP CHARM 100ML;0;
7898478494352;BETTY BOOP GLAMOUR 100ML;0;
7898478494376;BETTY BOOP SENSUAL 100ML;0;
7898672490174;BEYOUNG ANTI - AGING;0;
7898672490587;BEYOUNG BOOSTER;6;
7898672490679;BEYOUNG COLOR SECOND;0;
--------------;-----------------------------------------------------;------------------------------------------;---------------------------
26/11/21;Estoque Fisico;por Produto;Fl  10
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
Loja:  03  BIAN;CA NUNES CHIAH-ME;;
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
P r o d u t o;Descricao;Qtde;
;;;
7898672490631;BEYOUNG GENTLE;4;
7898672490662;BEYOUNG MICELLAR WATER;1;
8411114070704;BH BEVERLY HILLS F 100ML;0;
8411114070728;BH BEVERLY HILLS H 100ML;0;
3454090002296;BLACK CAVIAR F 100ML;0;
3454090001992;BLACK CAVIAR H100ML;0;
5060053113466;BLACK CULTURE F 125ML;0;
5055810015138;BLACK DIAMOND ZIRCONIA PRIVE F;3;
8411061695951;BLACK IN SEDUCTION 100ML;1;
0000000000346;BLACK IN SEDUTIONC 200ML;1;
875990000756;BLACK IS BLACK H 100ML;0;
3700134403070;BLACK KAREN LOW H 100ML;0;
031655471709;BLACK KENNETH COLE F 100ML;0;
031655471693;BLACK KENNETH COLE F 50ML;0;
875990000855;BLACK LABEL H 100ML;0;
6291100173860;BLACK LEOPARD H 100ML;0;
3365440787858;BLACK OPIUM 30ML EDP;2;
3365440787971;BLACK OPIUM EDP 90ML;0;
6291100173709;BLACK SHADOW H 100ML;0;
3355992004930;BLACK SOUL H 100ML;0;
3355992004916;BLACK SOUL H 30ML;0;
3349668161348;BLACK XS 100ML;3;
3349666007792;BLACK XS 30ML;0;
3349668161546;BLACK XS 50ML;0;
3349668550654;BLACK XS BLACK EXCESS H 100ML;0;
3349666002537;BLACK XS CREME 150ML;0;
3349668165216;BLACK XS DEO 150ML;0;
3349668555093;BLACK XS EXCESS EDP F 50ML;0;
3349668555062;BLACK XS EXCESS F EDP 80ML;2;
3349666002742;BLACK XS F 30ML;1;
3349666002506;BLACK XS F 50ML;0;
3349666005330;BLACK XS F 80ML;2;
3349668514809;BLACK XS LEXCES 50ML;0;
3349668526420;BLACK XS LEXCES BODY F 250ML;0;
3349668514847;BLACK XS LEXCES F 50ML;0;
3349668514830;BLACK XS LEXCES F 80ML;0;
3349668514793;BLACK XS LEXCES H 100ML;0;
3145891073607;BLEU CHANEL EDP H 100ML;1;
3145891073706;BLEU CHANEL EDP H 150ML;0;
3145891074604;BLEU CHANEL EDT H 100ML;1;
3145891071801;BLEU DE CHANEL EDP DOURADO 100ML;0;
3494800370031;BLEU ROYAL F 100ML;0;
3494800370048;BLEU ROYAL F 30ML;0;
5060053111219;BLING F 100ML;0;
037361006037;BLUE EYES 50ML;0;
7898478494970;BLUE NEON LIPSTICK 148;0;
